# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        V        u        v        b        y     Hb_w     Hb_n
 271     6000  3.00   -0.036   -1.953   -0.881   -0.380   -0.019   -0.187    2.913
 272     6000  3.50   -0.048   -1.876   -0.906   -0.396   -0.030   -0.202    2.902
 273     6000  4.00   -0.055   -1.817   -0.929   -0.408   -0.038   -0.212    2.895
 274     6000  4.50   -0.059   -1.778   -0.950   -0.414   -0.041   -0.217    2.893
 275     6000  5.00   -0.059   -1.759   -0.969   -0.415   -0.040   -0.218    2.896
 276     6250  0.50    0.073   -2.453   -0.600   -0.180    0.090   -0.019    3.058
 277     6250  1.00    0.060   -2.337   -0.637   -0.206    0.077   -0.043    3.034
 278     6250  1.50    0.043   -2.215   -0.666   -0.233    0.060   -0.068    3.009
 279     6250  2.00    0.026   -2.094   -0.696   -0.261    0.043   -0.094    2.985
 280     6250  2.50    0.008   -1.981   -0.728   -0.288    0.024   -0.119    2.963
 281     6250  3.00   -0.010   -1.879   -0.760   -0.314    0.007   -0.142    2.944
 282     6250  3.50   -0.026   -1.789   -0.791   -0.338   -0.009   -0.162    2.928
 283     6250  4.00   -0.038   -1.714   -0.821   -0.356   -0.021   -0.177    2.916
 284     6250  4.50   -0.046   -1.656   -0.846   -0.369   -0.028   -0.188    2.910
 285     6250  5.00   -0.049   -1.619   -0.868   -0.375   -0.031   -0.192    2.910
 286     6500  0.50    0.093   -2.396   -0.438   -0.101    0.109    0.034    3.100
 287     6500  1.00    0.084   -2.294   -0.489   -0.130    0.100    0.009    3.073
 288     6500  1.50    0.070   -2.179   -0.536   -0.160    0.087   -0.017    3.045
 289     6500  2.00    0.052   -2.061   -0.576   -0.191    0.069   -0.045    3.017
 290     6500  2.50    0.033   -1.947   -0.615   -0.222    0.050   -0.074    2.991
 291     6500  3.00    0.012   -1.839   -0.655   -0.254    0.029   -0.102    2.966
 292     6500  3.50   -0.007   -1.739   -0.694   -0.284    0.010   -0.128    2.945
 293     6500  4.00   -0.024   -1.651   -0.730   -0.310   -0.007   -0.149    2.928
 294     6500  4.50   -0.037   -1.578   -0.761   -0.330   -0.020   -0.166    2.916
